"order_id","pelanggan_id","tanggal","total","status"
1,1,"2024-01-15",50000.00,selesai
2,2,"2024-01-18",120000.00,dikirim
3,3,"2024-01-20",85000.00,selesai
4,4,"2024-01-22",67000.00,dibayar
5,5,"2024-01-25",95000.00,selesai
6,6,"2024-01-28",43000.00,dibatalkan
7,7,"2024-02-01",110000.00,dikirim
8,8,"2024-02-05",75000.00,selesai
9,9,"2024-02-10",200000.00,dibayar
10,10,"2024-02-12",62000.00,selesai
11,11,"2024-02-15",88000.00,dikirim
12,12,"2024-02-18",54000.00,selesai
13,13,"2024-02-20",101000.00,dibayar
14,14,"2024-02-22",37000.00,dibatalkan
15,15,"2024-02-25",125000.00,selesai
16,16,"2024-02-28",90000.00,dikirim
17,17,"2024-03-02",77000.00,selesai
18,18,"2024-03-05",64000.00,dibayar
19,19,"2024-03-08",138000.00,selesai
20,20,"2024-03-10",55000.00,dibatalkan
21,21,"2024-03-12",92000.00,dikirim
22,22,"2024-03-15",83000.00,selesai
23,23,"2024-03-18",115000.00,dibayar
24,24,"2024-03-20",69000.00,selesai
25,25,"2024-03-23",46000.00,dibatalkan
26,26,"2024-03-26",105000.00,dikirim
27,27,"2024-03-28",79000.00,selesai
28,28,"2024-03-30",132000.00,dibayar
29,29,"2024-04-02",58000.00,selesai
30,30,"2024-04-05",96000.00,dibatalkan
31,31,"2024-04-08",118000.00,dikirim
32,32,"2024-04-10",71000.00,selesai
33,33,"2024-04-13",85000.00,dibayar
34,34,"2024-04-16",62000.00,selesai
35,35,"2024-04-19",47000.00,dibatalkan
36,36,"2024-04-22",109000.00,dikirim
37,37,"2024-04-25",82000.00,selesai
38,38,"2024-04-28",95000.00,dibayar
39,39,"2024-05-01",63000.00,selesai
40,40,"2024-05-04",54000.00,dibatalkan
41,41,"2024-05-07",126000.00,dikirim
42,42,"2024-05-10",89000.00,selesai
43,43,"2024-05-13",76000.00,dibayar
44,44,"2024-05-16",110000.00,selesai
45,45,"2024-05-19",38000.00,dibatalkan
46,46,"2024-05-22",94000.00,dikirim
47,47,"2024-05-25",102000.00,selesai
48,48,"2024-05-28",67000.00,dibayar
49,49,"2024-06-01",73000.00,selesai
50,50,"2024-06-04",115000.00,dibatalkan
51,51,"2024-06-07",88000.00,dikirim
52,52,"2024-06-10",79000.00,selesai
53,53,"2024-06-13",128000.00,dibayar
54,54,"2024-06-16",55000.00,selesai
55,55,"2024-06-19",68000.00,dibatalkan
56,56,"2024-06-22",97000.00,dikirim
57,57,"2024-06-25",84000.00,selesai
58,58,"2024-06-28",112000.00,dibayar
59,59,"2024-07-01",59000.00,selesai
60,60,"2024-07-04",74000.00,dibatalkan
61,61,"2024-07-07",106000.00,dikirim
62,62,"2024-07-10",81000.00,selesai
63,63,"2024-07-13",94000.00,dibayar
64,64,"2024-07-16",66000.00,selesai
65,65,"2024-07-19",45000.00,dibatalkan
66,66,"2024-07-22",119000.00,dikirim
67,67,"2024-07-25",87000.00,selesai
68,68,"2024-07-28",73000.00,dibayar
69,69,"2024-08-01",105000.00,selesai
70,70,"2024-08-04",58000.00,dibatalkan
71,71,"2024-08-07",92000.00,dikirim
72,72,"2024-08-10",84000.00,selesai
73,73,"2024-08-13",116000.00,dibayar
74,74,"2024-08-16",62000.00,selesai
75,75,"2024-08-19",77000.00,dibatalkan
76,76,"2024-08-22",108000.00,dikirim
77,77,"2024-08-25",89000.00,selesai
78,78,"2024-08-28",96000.00,dibayar
79,79,"2024-09-01",54000.00,selesai
80,80,"2024-09-04",68000.00,dibatalkan
81,81,"2024-09-07",121000.00,dikirim
82,82,"2024-09-10",83000.00,selesai
83,83,"2024-09-13",75000.00,dibayar
84,84,"2024-09-16",109000.00,selesai
85,85,"2024-09-19",39000.00,dibatalkan
86,86,"2024-09-22",93000.00,dikirim
87,87,"2024-09-25",101000.00,selesai
88,88,"2024-09-28",66000.00,dibayar
89,89,"2024-10-01",72000.00,selesai
90,90,"2024-10-04",114000.00,dibatalkan
91,91,"2024-10-07",87000.00,dikirim
92,92,"2024-10-10",78000.00,selesai
93,93,"2024-10-13",127000.00,dibayar
94,94,"2024-10-16",54000.00,selesai
95,95,"2024-10-19",67000.00,dibatalkan
96,96,"2024-10-22",96000.00,dikirim
97,97,"2024-10-25",83000.00,selesai
98,98,"2024-10-28",111000.00,dibayar
99,99,"2024-11-01",58000.00,selesai
100,100,"2024-11-04",73000.00,dibatalkan
101,101,"2024-11-07",105000.00,dikirim
102,102,"2024-11-10",80000.00,selesai
103,103,"2024-11-13",93000.00,dibayar
104,104,"2024-11-16",65000.00,selesai
105,105,"2024-11-19",44000.00,dibatalkan
106,1,"2024-12-02",98000.00,dikirim
107,2,"2024-12-05",86000.00,selesai
